,Date Created,Tweet Count,News Source,Tweet Text,Compound Score,Positive Score,Negative Score,Neutral Score
400,Sun Jan 07 04:33:47 +0000 2018,1,The New York Times,Does the NFL have a Usain Bolt? Here are the league’s fastest players. https://t.co/vKexcQ2qoS https://t.co/5lOGsx5gd4,0.0,0.0,1.0,0.0
401,Sun Jan 07 04:16:59 +0000 2018,2,The New York Times,January has arguably become a more important month in the TV calendar than September https://t.co/PyfrYBWmdZ,0.024,0.13,0.746,0.124
402,Sun Jan 07 04:00:24 +0000 2018,3,The New York Times,You may not want to know the answer to this question https://t.co/wxnH3XqEaK,-0.0572,0.0,0.9,0.1
403,Sun Jan 07 03:43:56 +0000 2018,4,The New York Times,The key to this bright soup is the Parmesan-rosemary-lemon topping https://t.co/VubjFDvs9t,0.5228,0.252,0.748,0.0
404,Sun Jan 07 03:27:42 +0000 2018,5,The New York Times,"""I was itching to touch him, to have his hands on me. I wanted to be more desirable than God."" https://t.co/5taKiwWSTh",0.3804,0.12,0.88,0.0
405,Sun Jan 07 03:11:03 +0000 2018,6,The New York Times,Half the people in this Utah county are Native American. But American Indians have never controlled the local gover… https://t.co/uNBuXbJIpD,0.0,0.0,1.0,0.0
406,Sun Jan 07 02:54:47 +0000 2018,7,The New York Times,Nothing seems to have captured the imagination of people here like the saxophone https://t.co/HqNLAimcRy,0.3612,0.161,0.839,0.0
407,Sun Jan 07 02:34:16 +0000 2018,8,The New York Times,"""People use the term '3-D selfie' a lot. It really isn’t that."" https://t.co/Vdq9LrJiEf",0.0,0.0,1.0,0.0
408,Sun Jan 07 02:13:25 +0000 2018,9,The New York Times,New Jersey is now the last state in the nation where drivers are not allowed to pump their own gasoline https://t.co/jSbFU0HcVk,0.0,0.0,1.0,0.0
409,Sun Jan 07 01:55:34 +0000 2018,10,The New York Times,"""I became more patient, less anxious, more capable of loving, less afraid of death and decline"" https://t.co/GpZKVGjR43",0.2928,0.267,0.512,0.221
410,Sun Jan 07 01:39:13 +0000 2018,11,The New York Times,"With floor-to-ceiling windows looking out over a steep lot, the airy home has the feeling of a treehouse https://t.co/yVW6F8gLdh",0.128,0.086,0.914,0.0
411,Sun Jan 07 01:22:59 +0000 2018,12,The New York Times,Want to be more well read in 2018? Sync your calendar to keep up with the latest and greatest in books.… https://t.co/QLfpsPnR1U,0.7841,0.293,0.707,0.0
412,Sun Jan 07 01:05:58 +0000 2018,13,The New York Times,"Where pot entrepreneurs go when the banks just say no
https://t.co/GVxsuIkIQS",-0.296,0.0,0.82,0.18
413,Sun Jan 07 00:49:16 +0000 2018,14,The New York Times,Gunmen Kill 13 in Restive Southern Region of Senegal https://t.co/f7uMDmmkaq,-0.6908,0.0,0.657,0.343
414,Sun Jan 07 00:34:40 +0000 2018,15,The New York Times,Opinion: The Alt-Right’s Asian Fetish https://t.co/MEnl0LU8BM,0.0,0.0,1.0,0.0
415,Sun Jan 07 00:26:30 +0000 2018,16,The New York Times,"Why more men are choosing nursing as a profession, and why that is good news https://t.co/UGe3mF7e6b",0.4404,0.172,0.828,0.0
416,Sun Jan 07 00:08:52 +0000 2018,17,The New York Times,People see Hanyu for the first time and they become hysterical or they’re moved to tears https://t.co/EcwTJtFZ0y,-0.25,0.0,0.833,0.167
417,Sat Jan 06 23:51:10 +0000 2018,18,The New York Times,"This cat sensed death. What if computers could, too?
https://t.co/gYUS6BGBXS",-0.5994,0.0,0.698,0.302
418,Sat Jan 06 23:34:41 +0000 2018,19,The New York Times,"Opinion: Publicly, we say #MeToo. Privately, we have misgivings. https://t.co/1eZw08MPSy",0.0,0.0,1.0,0.0
419,Sat Jan 06 23:17:03 +0000 2018,20,The New York Times,This is a wonderful do-ahead chicken dish https://t.co/eZRpFD1S5j,0.5719,0.381,0.619,0.0
